A股涨停板全景报告 — 2026-07-03
生成时间: 2026-07-03 19:50
============================================================

涨停总数: 217 只
连板分布: {'1': 163, '2': 54, '3': 0, '4+': 0}
市场分布: {'创业板': 49, '科创板': 18, '主板': 150}

完整个股清单:
代码       名称               价格       涨幅   连板 归因
------------------------------------------------------------
300580   贝斯特           25.96  +20.02%    1天 人形机器人+工业母机
301199   迈赫股份          21.28  +20.02%    1天 机器人+智能装备+汽车制造
300718   长盛轴承          77.23  +20.00%    1天 机器人+自润滑轴承+具身智能
300779   惠城环保          59.27  +20.00%    1天 废塑料化学循环+固废处理+增资扩股
300912   凯龙高科          28.56  +20.00%    1天 人形机器人+获一汽解放定点+拟收购金旺达
300985   致远新能          49.67  +20.00%    1天 算力+车载LNG供气系统+氢能
301379   天山电子          32.16  +20.00%    1天 光学光电子+存储芯片+企业级SSD
301499   维科精密          34.74  +20.00%    1天 可转债发行+半导体封装+汽车电子
301596   瑞迪智驱          63.97  +20.00%    1天 人形机器人+谐波减速机+电磁制动器
688311   盟升电子          31.15  +19.99%    1天 商业航天+卫星导航+军工信息化+高管增持
300018   中元股份          14.65  +19.98%    1天 
300129   泰胜风能          10.63  +19.98%    1天 商业航天+风电装备+广州国资
688017   绿的谐波         488.00  +18.15%    1天 
301051   信濠光电          22.77  +17.07%    1天 
300503   昊志机电         111.00  +16.99%    1天 
300817   双飞集团          18.85  +16.50%    1天 
688523   航天环宇          58.79  +16.23%    1天 
300403   汉宇集团          11.52  +16.13%    1天 
300163   先锋新材           7.50  +15.92%    2天 
301225   恒勃股份          96.25  +15.41%    1天 
300777   中简科技          30.25  +14.50%    1天 
300660   江苏雷利          33.29  +14.36%    1天 
301368   丰立智能          50.06  +14.27%    1天 
688636   智明达           40.20  +14.20%    1天 
300549   优德精密          15.30  +13.84%    1天 
688114   华大智造          58.99  +13.64%    1天 
688270   ST臻镭          92.40  +13.56%    1天 
300607   拓斯达           52.96  +13.55%    1天 
688322   奥比中光-W       147.33  +13.32%    1天 
688098   申联生物           9.88  +13.30%    1天 
301520   万邦医药          35.55  +13.22%    1天 
300695   兆丰股份          68.16  +12.90%    2天 
300139   晓程科技          44.05  +12.86%    1天 
300952   恒辉安防          20.24  +12.76%    1天 
300809   华辰装备          30.29  +11.73%    1天 
301005   超捷股份         118.64  +11.73%    1天 
301232   飞沃科技         182.00  +11.69%    1天 
688068   热景生物         122.97  +11.62%    2天 
301413   安培龙           83.00  +11.42%    1天 
688661   和林微纳         174.37  +11.41%    1天 
300745   欣锐科技          47.99  +11.32%    1天 
301165   锐捷网络          94.89  +11.31%    1天 
688698   伟创电气          61.50  +11.21%    1天 
688192   迪哲医药-U        48.48  +11.12%    1天 
301529   福赛科技         124.30  +10.98%    1天 
300969   恒帅股份         117.00  +10.93%    1天 
688387   信科移动-U        21.15  +10.85%    1天 
300115   长盈精密          33.18  +10.78%    1天 
300415   伊之密           22.40  +10.78%    1天 
300878   维康药业          39.45  +10.66%    1天 
300223   北京君正         259.56  +10.61%    1天 
301603   乔锋智能         159.99  +10.54%    1天 
301539   宏鑫科技          14.80  +10.53%    1天 
300487   蓝晓科技          74.58  +10.49%    1天 
301588   美新科技          53.90  +10.27%    1天 
688310   迈得医疗          17.27  +10.21%    1天 
688716   中研股份          36.57  +10.18%    1天 
000656   金科股份           1.30  +10.17%    2天 摘帽+地产开发+不动产综合运营
600376   首开股份           3.81  +10.12%    1天 间接持股宇树科技+北京国资+城市更新
000908   石药景峰           6.88  +10.08%    2天 石药入主+创新药+摘帽更名+一季报扭亏
002148   北纬科技           6.56  +10.07%    1天 中报扭亏+物联网+手机游戏
002434   万里扬            6.67  +10.07%    1天 人形机器人+谐波减速器+汽车零部件
002677   浙江美大           6.23  +10.07%    1天 AI厨电+集成灶龙头+智能驾驶
002141   贤丰控股           5.14  +10.06%    1天 覆铜板+PCB概念+盐湖提锂参股
603327   福蓉科技           8.86  +10.06%    1天 2026中报预增+折叠屏+苹果概念+福建国资
603717   天域生物           7.33  +10.06%    2天 生猪养殖+拟设AI公司+功能性红曲+光伏
000595   宝塔实业           6.24  +10.05%    2天 脱星摘帽+新能源发电+宁夏国资+股东增持
002072   凯瑞德            9.64  +10.05%    1天 煤炭贸易+控制权变更预期+资产注入预期
